Facility Number,Facility Name,Region,District,Council,Facility Type
11444109,Afridaus,Kigoma,Kigoma,Kigoma Ujiji MC,Health Labs - Level IA2 (Dispensary Laboratory)
11427208,Afya,Morogoro,Kilosa,Kilosa DC,Health Labs - Level IA2 (Dispensary Laboratory)
11427100,Afya,Morogoro,Morogoro,Morogoro MC,Health Labs - Level IA2 (Dispensary Laboratory)
10003505,Afya,Katavi,Mpanda,Mpanda MC,Dispensary
10003603,Afya Bora,Dar es Salaam,Ilala,Ilala MC,Dispensary
11346000,Afya care,Dar es Salaam,Ilala,Ilala MC,Health Labs - Level IA2 (Dispensary Laboratory)
11188804,Afya care charitable,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
11061209,Afya care Sinza,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
11423408,Afya Check,Dodoma,Dodoma,Dodoma MC,Health Labs - Level IA2 (Dispensary Laboratory)
11205402,Afya check superspecialized kidney and diagnostic and dialysis,Mbeya,Mbeya,Mbeya CC,Clinic - Other Clinic
11308408,Afya kwanza,Ruvuma,Songea,Songea MC,Health Labs - Level IA2 (Dispensary Laboratory)
11428706,afya kwanza,Dar es Salaam,Ubungo,Ubungo MC,Health Labs - Level IA2 (Dispensary Laboratory)
11155206,Afya Max,Arusha,Arusha,Arusha CC,Clinic - Polyclinic
11187306,Afya Medicare .,Njombe,Njombe,Makambako TC,Health Center
11042506,Afya Specialized,Morogoro,Morogoro,Morogoro MC,Clinic - Other Clinic
11307800,Afya yetu,Ruvuma,Songea,Songea MC,Health Labs - Level IA2 (Dispensary Laboratory)
11214107,Afyatime,Dar es Salaam,Ilala,Ilala MC,Clinic - Specialized Polyclinic
11342905,Aga Khan,Kagera,Bukoba,Bukoba MC,Clinic - Polyclinic
11297401,Aga Khan,Tabora,Tabora,Tabora MC,Clinic - Polyclinic
10004602,Aga Khan,Dodoma,Dodoma,Dodoma MC,Clinic - Polyclinic
10857708,Aga Khan,Arusha,Arusha,Arusha CC,Health Center
10004504,Aga Khan,Iringa,Iringa,Iringa MC,Clinic - Polyclinic
10004407,Aga Khan,Morogoro,Morogoro,Morogoro MC,Clinic - Polyclinic
10004700,Aga Khan,Dar es Salaam,Ilala,Ilala MC,Hospital - Hospital at Zonal Level
11153100,Aga Khan,Dar es Salaam,Kinondoni,Kinondoni MC,Clinic - General Clinic
11062100,Aga Khan,Dar es Salaam,Kinondoni,Kinondoni MC,Clinic - Polyclinic
11179306,Aga Khan Tabata,Dar es Salaam,Ilala,Ilala MC,Clinic - Polyclinic
11180802,Aga Khan Mianzini,Dar es Salaam,Temeke,Temeke MC,Clinic - Polyclinic
11363507,Aga khan Polyclinic,Mara,Bunda,Bunda TC,Clinic - Polyclinic
11483708,Aga Khan Polyclinic-Kibaha,Pwani,Kibaha,Kibaha TC,Clinic - Polyclinic
11142202,Aga Khan Tandika,Dar es Salaam,Temeke,Temeke MC,Clinic - Polyclinic
11222900,Aga Khan Ukonga,Dar es Salaam,Ilala,Ilala MC,Clinic - Polyclinic
11402207,Aga Khan Yombo Vituka,Dar es Salaam,Temeke,Temeke MC,Clinic - Polyclinic
11192906,Aga Khani Medical Bunju,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
11192808,Aga Khani Medical masaki,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
11446303,Aga Khani Sinza,Dar es Salaam,Ubungo,Ubungo MC,Clinic - Polyclinic
11190702,Agakhan,Dar es Salaam,Kigamboni,Kigamboni MC,Clinic - Polyclinic
11233202,Agakhan Kimara,Dar es Salaam,Ubungo,Ubungo MC,Clinic - Polyclinic
11216203,Agakhan poly,Shinyanga,Kahama,Kahama TC,Clinic - Polyclinic
11080803,Agakhan Town,Dar es Salaam,Ilala,Ilala MC,Health Center
11308202,Agape,Ruvuma,Songea,Songea DC,Health Labs - Level IA2 (Dispensary Laboratory)
11332104,Agape,Mwanza,Ilemela,Ilemela MC,Health Labs - Level IA2 (Dispensary Laboratory)
11198205,Agape,Arusha,Arusha,Arusha CC,Health Labs - Level IA2 (Dispensary Laboratory)
11267407,Agape,Morogoro,Morogoro,Morogoro MC,Health Labs - Level III single purpose Health Laboratory
10005004,Agape,Lindi,Liwale,Liwale DC,Dispensary
11157008,Agape,Pwani,Kisarawe,Kisarawe DC,Health Labs - Level IA2 (Dispensary Laboratory)
11313802,Agape,Morogoro,Kilosa,Kilosa DC,Dispensary
11227601,Agape,Arusha,Karatu,Karatu DC,Dispensary
10005308,Agha Khan,Mbeya,Mbeya,Mbeya CC,Clinic - Polyclinic
11183300,Aghaki,Iringa,Mufindi,Mufindi DC,Dispensary
11268308,AGM,Dar es Salaam,Temeke,Temeke MC,Clinic - Other Clinic
10005601,Ahmadiyya,Morogoro,Morogoro,Morogoro MC,Clinic - Polyclinic
10005807,AIC Bweri,Mara,Musoma,Musoma MC,Health Center
10005905,AIC Nyasho,Mara,Musoma,Musoma MC,Dispensary
10960105,AICC,Arusha,Arusha,Arusha CC,Hospital - Hospital at District Level
10006101,AICT Bunda,Mara,Bunda,Bunda TC,Dispensary
10006209,AICT Makongoro,Mwanza,Nyamagana,Nyamagana MC,Health Center
11344306,Airport M6,Dar es Salaam,Ilala,Ilala MC,Health Labs - Level IA2 (Dispensary Laboratory)
10006904,Airport Police,Dar es Salaam,Ilala,Ilala MC,Dispensary
11066703,Airport Tanzania,Dar es Salaam,Ilala,Ilala MC,Dispensary
10007002,Airwing 603 ATS,Dar es Salaam,Ilala,Ilala MC,Dispensary
10007208,Akim Dental Services,Dar es Salaam,Ilala,Ilala MC,Clinic - Dental Clinic
10007903,Al - Amal,Iringa,Iringa,Iringa MC,Dispensary
11434904,AL ABBAS DENTAL,Kagera,Bukoba,Bukoba MC,Clinic - Dental Clinic
10007501,Al Hilal,Dar es Salaam,Ilala,Ilala MC,Clinic - Polyclinic
10008608,Al Jumaa,Dar es Salaam,Ilala,Ilala MC,Dispensary
10007805,Al Karimu,Dar es Salaam,Ilala,Ilala MC,Dispensary
10008207,Al-Ehsaa,Kilimanjaro,Moshi,Moshi MC,Dispensary
10008500,Al-Ijumaa,Mwanza,Nyamagana,Nyamagana MC,Health Center
11206508,AL-Mansoor,Singida,Singida,Singida DC,Dispensary
10009206,Al-Mohlem,Tanga,Tanga,Tanga CC,Dispensary
11298302,AL-Tabibu,Mtwara,Mtwara,Mtwara MC,Health Labs - Level IA2 (Dispensary Laboratory)
11122705,Alailelai,Arusha,Ngorongoro,Ngorongoro DC,Dispensary
10008001,Alamano,Iringa,Iringa,Iringa MC,Dispensary
11061307,Alara,Dar es Salaam,Temeke,Temeke MC,Clinic - Specialized Polyclinic
11294707,ALEP,Kilimanjaro,Moshi,Moshi DC,Health Labs - Level IA2 (Dispensary Laboratory)
11062903,Alexia,Dar es Salaam,Temeke,Temeke MC,Health Center
11232506,Alexia Medical,Dar es Salaam,Temeke,Temeke MC,Dispensary
11308006,Alfa,Ruvuma,Namtumbo,Namtumbo DC,Health Labs - Level IA2 (Dispensary Laboratory)
11355507,Alfa,Katavi,Mpanda,Mpanda MC,Health Labs - Level IA2 (Dispensary Laboratory)
11143504,Alfa,Dar es Salaam,Ilala,Ilala MC,Clinic - Specialized clinic
11170305,Alfa-Prolife,Morogoro,Morogoro,Morogoro MC,Dispensary
11304705,Alinda,Kagera,Bukoba,Bukoba MC,Health Labs - Level IA2 (Dispensary Laboratory)
11262607,Alira,Dar es Salaam,Ilala,Ilala MC,Clinic - Dental Clinic
11030305,Aljamih,Morogoro,Morogoro,Morogoro MC,Dispensary
11189901,Aljumaa,Dar es Salaam,Ilala,Ilala MC,Clinic - Dental Clinic
10008706,Alkaria,Arusha,Monduli,Monduli DC,Dispensary
11190007,All smile,Dar es Salaam,Ilala,Ilala MC,Clinic - Dental Clinic
10009000,Alliance One,Morogoro,Morogoro,Morogoro DC,Dispensary
10009304,Alpha,Mara,Tarime,Tarime DC,Maternity Home
11282603,Alpha,Geita,Geita,Geita TC,Health Labs - Level IA2 (Dispensary Laboratory)
11330703,Alpha,Mwanza,Ilemela,Ilemela MC,Health Labs - Level IA2 (Dispensary Laboratory)
11265105,Alpha,Morogoro,Morogoro,Morogoro MC,Health Labs - Level IA2 (Dispensary Laboratory)
11233701,Alpha,Iringa,Kilolo,Kilolo DC,Dispensary
11423300,Alpha,Dodoma,Dodoma,Dodoma MC,Health Labs - Level IA2 (Dispensary Laboratory)
11431300,Alpha & Omega,Dar es Salaam,Ilala,Ilala MC,Health Labs - Level IA2 (Dispensary Laboratory)
11259504,Alpha Family Healthcare,Dar es Salaam,Kinondoni,Kinondoni MC,Clinic - Other Clinic
10950704,Alsheikh,Iringa,Kilolo,Kilolo DC,Dispensary
11234602,Alshifaa Medical Kidney,Dar es Salaam,Kinondoni,Kinondoni MC,Clinic
11349702,ALT Centre,Dar es Salaam,Kinondoni,Kinondoni MC,Health Labs - Level IA2 (Dispensary Laboratory)
11446107,Aman,Tabora,Urambo,Urambo DC,Health Labs - Level IA2 (Dispensary Laboratory)
10009705,Amana,Dar es Salaam,Ilala,Ilala MC,Hospital - Regional Referral Hospital
11274907,Amana Eye Centre,Dar es Salaam,Ilala,Ilala MC,Clinic - Optometry Clinic
11306400,Amanda,Njombe,Njombe,Njombe TC,Health Labs - Level IA2 (Dispensary Laboratory)
11306909,Amani,Ruvuma,Songea,Songea MC,Health Labs - Level IA2 (Dispensary Laboratory)
10010800,Amani,Dodoma,Dodoma,Dodoma MC,Health Center
10010702,Amani,Tanga,Muheza,Muheza DC,Dispensary
10010908,Amani,Manyara,Babati,Babati TC,Maternity and Nursing Home
11169406,Amani,Tanga,Handeni,Handeni DC,Dispensary
11330400,Amani,Pwani,Kibaha,Kibaha TC,Health Labs - Level IA2 (Dispensary Laboratory)
11194806,Amani,Mtwara,Tandahimba,Tandahimba DC,Dispensary
11270509,Amani,Morogoro,Ulanga,Ulanga DC,Health Labs - Level IA2 (Dispensary Laboratory)
10010007,Amani,Njombe,Ludewa,Ludewa DC,Dispensary
11339009,Amani,Mwanza,Ilemela,Ilemela MC,Health Labs - Level IA2 (Dispensary Laboratory)
10010506,Amani,Ruvuma,Namtumbo,Namtumbo DC,Dispensary
11447008,Amani,Mwanza,Ilemela,Ilemela MC,Maternity Home
10257205,Amani,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
10010604,Amani,Ruvuma,Tunduru,Tunduru DC,Dispensary
11468903,Amani,Morogoro,Morogoro,Morogoro MC,Dispensary
11485001,Amani,Kilimanjaro,Moshi,Moshi DC,Dispensary
10898807,Amani,Tanga,Handeni,Handeni TC,Dispensary
10011006,Amani Chogo,Mwanza,Nyamagana,Nyamagana MC,Clinic - Medical Clinic
11196608,Amani GE,Arusha,Arusha,Arusha CC,Health Labs - Level IA2 (Dispensary Laboratory)
10011104,Amani Igoma,Mwanza,Nyamagana,Nyamagana MC,Dispensary
11421106,Amani International Optical Centre,Njombe,Njombe,Njombe TC,Clinic - Optometry Clinic
11179501,Amani Kiluvya,Pwani,Mkuranga,Mkuranga DC,Dispensary
10011202,Amani Makolo,Ruvuma,Mbinga,Mbinga DC,Dispensary
11222107,Amani Medics,Dodoma,Dodoma,Dodoma MC,Dispensary
11190800,Amani Seif Memorial,Dar es Salaam,Ilala,Ilala MC,Dispensary
11377002,Amani Terat,Manyara,Simanjiro,Simanjiro DC,Dispensary
11209701,Ambreni,Arusha,Arumeru,Meru DC,Dispensary
10796105,AMEC,Tabora,Sikonge,Sikonge DC,Dispensary
10011907,AMEC,Katavi,Mpanda,Mpanda MC,Dispensary
11164009,Ameki,Mbeya,Kyela,Kyela DC,Dispensary
11318406,Amen,Tabora,Tabora,Tabora MC,Health Labs - Level IA2 (Dispensary Laboratory)
11203707,Amen,Manyara,Babati,Babati TC,Health Labs - Level IA2 (Dispensary Laboratory)
11333309,Amen,Mwanza,Ilemela,Ilemela MC,Health Labs - Level IA2 (Dispensary Laboratory)
11168103,Amen,Kagera,Ngara,Ngara DC,Dispensary
10012005,Ameni,Mbeya,Kyela,Kyela DC,Dispensary
10012103,Ameni,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
11259602,Amenye,Mbeya,Mbeya,Mbeya CC,Health Labs - Level IA2 (Dispensary Laboratory)
11135504,Amenye,Mbeya,Mbeya,Mbeya CC,Dispensary
11319405,Amigo,Tabora,Urambo,Urambo DC,Health Labs - Level IA2 (Dispensary Laboratory)
11194209,Amina,Tanga,Tanga,Tanga CC,Dispensary
11422506,Amina,Singida,Mkalama,Mkalama DC,Health Labs - Level IA2 (Dispensary Laboratory)
11431006,Amodo morden,Dar es Salaam,Ilala,Ilala MC,Health Labs - Level IA2 (Dispensary Laboratory)
11340300,AMREF,Dar es Salaam,Ilala,Ilala MC,Health Labs - Level III single purpose Health Laboratory
11433601,Amref,Dar es Salaam,Kinondoni,Kinondoni MC,Health Labs - Level IA2 (Dispensary Laboratory)
10773200,Amsterdam,Tanga,Tanga,Tanga CC,Dispensary
10982902,AMUCTA,Tabora,Tabora,Tabora MC,Dispensary
10012407,Ananda Marga,Dar es Salaam,Ilala,Ilala MC,Dispensary
11152101,Ane,Morogoro,Kilombero,Mlimba DC,Dispensary
11061003,Ane Afya Care,Dar es Salaam,Ilala,Ilala MC,Dispensary
11296705,Angaza,Lindi,Nachingwea,Nachingwea DC,Health Labs - Level IA2 (Dispensary Laboratory)
11129209,Angaza VCT,Ruvuma,Songea,Songea MC,Clinic - Other Clinic
11123606,ANGAZA- VCT,Shinyanga,Shinyanga,Shinyanga MC,Clinic - Other Clinic
11441807,Angel`s,Pwani,Kisarawe,Kisarawe DC,Health Labs - Level IA2 (Dispensary Laboratory)
10012906,Anglican,Njombe,Njombe,Njombe TC,Health Center
11160003,Anifa,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
11251600,Anifa Mkunguni,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
11475307,Anivona,Pwani,Kibaha,Kibaha TC,Clinic - Polyclinic
11348507,Anko J(MICO),Dar es Salaam,Kinondoni,Kinondoni MC,Health Labs - Level IA2 (Dispensary Laboratory)
10013308,Anne,Mbeya,Kyela,Kyela DC,Dispensary
10013406,Anne Kiilu,Kilimanjaro,Moshi,Moshi DC,Dispensary
11051504,Ansa,Dar es Salaam,Temeke,Temeke MC,Dispensary
10870408,Antonio Verna,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
11192700,Apala,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
11322204,Apan,Tanga,Tanga,Tanga CC,Health Labs - Level IA2 (Dispensary Laboratory)
11102308,Apollo,Dodoma,Dodoma,Dodoma MC,Health Center
11441503,Apollo,Dar es Salaam,Ubungo,Ubungo MC,Health Labs - Level IA2 (Dispensary Laboratory)
10013601,Apollo Medical Centre,Dar es Salaam,Ilala,Ilala MC,Health Center
10002604,Apostles of Jesus Njia,Dar es Salaam,Ilala,Ilala MC,Health Center
11275504,Apple,Morogoro,Morogoro,Morogoro MC,Health Labs - Level IA2 (Dispensary Laboratory)
11120208,Arafa,Tabora,Nzega,Nzega DC,Dispensary
11083301,Arafa,Morogoro,Kilosa,Kilosa DC,Dispensary
11157703,Arafa Mangaro,Morogoro,Kilosa,Kilosa DC,Dispensary
10014209,Arafa Amani,Dar es Salaam,Ilala,Ilala MC,Dispensary
11059301,Arafa Anaba,Dar es Salaam,Temeke,Temeke MC,Dispensary
11179100,Arafa Anne,Dar es Salaam,Ilala,Ilala MC,Dispensary
11060200,Arafa Azimio,Dar es Salaam,Temeke,Temeke MC,Dispensary
11057606,Arafa Bangulo,Dar es Salaam,Ilala,Ilala MC,Dispensary
11074801,Arafa Boko,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
11144102,Arafa Buguruni Ghana,Dar es Salaam,Ilala,Ilala MC,Dispensary
11052503,Arafa Chanika,Dar es Salaam,Ilala,Ilala MC,Dispensary
11061502,Arafa Charitable Kipunguni,Dar es Salaam,Ilala,Ilala MC,Dispensary
11352207,Arafa CM,Dar es Salaam,Temeke,Temeke MC,Health Labs - Level IA2 (Dispensary Laboratory)
10015404,Arafa Corner,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
11401805,Arafa Daima,Dar es Salaam,Temeke,Temeke MC,Dispensary
11060709,Arafa Ferry,Dar es Salaam,Kigamboni,Kigamboni MC,Dispensary
11183701,Arafa Highland,Dar es Salaam,Ilala,Ilala MC,Health Center
10014708,Arafa Huruma,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
10014806,Arafa Ikwiriri,Pwani,Rufiji,Rufiji DC,Dispensary
10014904,Arafa Jaribu,Pwani,Rufiji,Kibiti DC,Dispensary
11214900,Arafa Juhudi,Dar es Salaam,Ilala,Ilala MC,Dispensary
11166604,Arafa Kiberege,Morogoro,Kilombero,Mlimba DC,Dispensary
11108909,Arafa Kigogo,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
11052308,Arafa Kilakala,Dar es Salaam,Temeke,Temeke MC,Dispensary
10015306,Arafa Kisiwani,Dar es Salaam,Kigamboni,Kigamboni MC,Dispensary
11165801,Arafa Kisukuru,Dar es Salaam,Ilala,Ilala MC,Dispensary
11067007,Arafa Majohe,Dar es Salaam,Ilala,Ilala MC,Dispensary
10015609,Arafa Majumba Sita,Dar es Salaam,Ilala,Ilala MC,Dispensary
11028201,Arafa Mamboleo,Dar es Salaam,Temeke,Temeke MC,Dispensary
10015707,Arafa Mapinduzi,Dar es Salaam,Temeke,Temeke MC,Dispensary
10015903,Arafa Mbezi,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
11128807,Arafa Mkamba,Morogoro,Kilombero,Mlimba DC,Dispensary
11053307,Arafa Mood,Dar es Salaam,Ilala,Ilala MC,Dispensary
10016109,Arafa Mwananchi,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
10026704,Arafa Mwendapole,Pwani,Kibaha,Kibaha TC,Dispensary
10013905,Arafa Mzinga,Dar es Salaam,Ilala,Ilala MC,Dispensary
10016305,Arafa Neema,Dar es Salaam,Ilala,Ilala MC,Dispensary
10016207,Arafa NHC,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
11263303,Arafa Sameer,Dar es Salaam,Ilala,Ilala MC,Dispensary
10016608,Arafa SES Charitable,Dar es Salaam,Ilala,Ilala MC,Dispensary
11078601,Arafa Sinza,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
11143103,Arafa Sitakishari,Dar es Salaam,Ilala,Ilala MC,Dispensary
10016706,Arafa Tembo Mgwaza,Dar es Salaam,Ilala,Ilala MC,Dispensary
10016804,Arafa ugweno,Dar es Salaam,Temeke,Temeke MC,Health Center
11052102,Arafa Umoja,Dar es Salaam,Temeke,Temeke MC,Dispensary
10016902,Arafa Upendo,Dar es Salaam,Temeke,Temeke MC,Health Center
10863906,Arafa Uzuri,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
11137708,Arafa VIDA,Dar es Salaam,Ilala,Ilala MC,Dispensary
11063902,Arafa Vigaeni,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
10708102,Arafa Yombo Relini,Dar es Salaam,Temeke,Temeke MC,Dispensary
11061806,Arafa Zakhem,Dar es Salaam,Temeke,Temeke MC,Clinic - Dental Clinic
10017108,Arafa-Kiparang'anda,Pwani,Mkuranga,Mkuranga DC,Dispensary
11077808,Arafat Basna,Dar es Salaam,Ubungo,Ubungo MC,Dispensary
10017304,Arash,Arusha,Ngorongoro,Ngorongoro DC,Dispensary
11159408,Arcs,Njombe,Njombe,Njombe TC,Health Center
10017607,Ardhi Institute,Morogoro,Morogoro,Morogoro MC,Dispensary
10866100,Ardhi University,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
11264008,Arise,Dar es Salaam,Ilala,Ilala MC,Clinic - Other Clinic
10017901,Arkatan,Arusha,Monduli,Monduli DC,Dispensary
11267906,Arma,Mwanza,Nyamagana,Nyamagana MC,Maternity and Nursing Home
11401903,ARMI,Dar es Salaam,Temeke,Temeke MC,Dispensary
11314008,Arofade,Singida,Mkalama,Mkalama DC,Health Labs - Level IA2 (Dispensary Laboratory)
10018205,Arri,Manyara,Mbulu,Mbulu DC,Dispensary
10018303,Arri Tsaayo,Manyara,Babati,Babati DC,Dispensary
11199302,arusha centre,Arusha,Arusha,Arusha CC,Health Labs
11238403,Arusha City Hospital,Arusha,Arusha,Arusha CC,Hospital - District Hospital
10018704,Arusha Health Centre for Women,Arusha,Arusha,Arusha CC,Health Center
11196500,Arusha Junior,Arusha,Arusha,Arusha CC,Dispensary
10018508,Arusha labaratory,Arusha,Arusha,Arusha CC,Dispensary
10018802,Arusha Lutheran Center,Arusha,Arusha,Arusha CC,Hospital - Referral Hospital at Regional Level
11440005,Arusha military hospital,Arusha,Monduli,Monduli DC,Hospital - Hospital at Zonal Level
10019008,Arusha School,Arusha,Arusha,Arusha CC,Dispensary
10019204,Arusha X-ray Centre,Arusha,Arusha,Arusha CC,Dispensary
11243308,As-Sadiq Health Services,Dar es Salaam,Ilala,Ilala MC,Clinic - Polyclinic
11196804,ASA,Arusha,Arusha,Arusha DC,Health Labs - Level IA2 (Dispensary Laboratory)
10019302,Asamatwa,Manyara,Kiteto,Kiteto DC,Dispensary
10019400,Asanje,Dodoma,Bahi,Bahi DC,Dispensary
10019507,Asante Nyerere,Kigoma,Kasulu,Kasulu DC,Dispensary
11285101,Asante optical centre,Dodoma,Dodoma,Dodoma MC,Clinic - Optometry Clinic
11432602,ASC,Morogoro,Kilombero,Mlimba DC,Health Labs - Level IA2 (Dispensary Laboratory)
11365300,ASH,Arusha,Arusha,Arusha DC,Dispensary
10237406,Ashe engai RC,Kilimanjaro,Siha,Siha DC,Health Center
11365603,Ashengai,Arusha,Arusha,Arusha DC,Health Labs - Level IA2 (Dispensary Laboratory)
11294609,Ashok,Kilimanjaro,Moshi,Moshi MC,Health Labs - Level IA2 (Dispensary Laboratory)
11226700,ASSEY,Morogoro,Mvomero,Mvomero DC,Dispensary
10019703,Atta,Dodoma,Kondoa,Kondoa DC,Dispensary
10500308,Atukuzwe Juu,Dar es Salaam,Temeke,Temeke MC,Dispensary
11435707,Auma,Geita,Geita,Geita DC,Health Labs - Level IA2 (Dispensary Laboratory)
11087307,Aveti,Arusha,Arusha,Arusha CC,Dispensary
10020005,Aviation,Dar es Salaam,Ilala,Ilala MC,Dispensary
11081303,Aviceena,Dar es Salaam,Ilala,Ilala MC,Clinic - General Clinic
11355204,Avinta Care,Arusha,Arusha,Arusha CC,Health Labs - Level IA2 (Dispensary Laboratory)
10020201,Ayalabe,Arusha,Karatu,Karatu DC,Dispensary
10020407,Azania,Dar es Salaam,Kinondoni,Kinondoni MC,Dispensary
10020504,Azimio,Tabora,Uyui,Uyui DC,Dispensary
10020700,Azimio,Ruvuma,Tunduru,Tunduru DC,Dispensary
11162305,B & B Eye Centre,Dar es Salaam,Temeke,Temeke MC,Clinic - Optometry Clinic
11193807,B and B,Dar es Salaam,Ubungo,Ubungo MC,Clinic - Other Clinic
11332603,B.M.A,Mwanza,Ilemela,Ilemela MC,Health Labs - Level IA2 (Dispensary Laboratory)
11203306,Babati,Manyara,Babati,Babati TC,Health Labs - Level IA2 (Dispensary Laboratory)
10706701,Babati Roman catholic,Manyara,Babati,Babati TC,Dispensary
10021102,Babati Town,Manyara,Babati,Babati TC,Hospital - District Hospital
10021503,Babayu,Dodoma,Bahi,Bahi DC,Dispensary
10021406,Babayu,Dodoma,Chemba,Chemba DC,Dispensary
11423006,Babel,Dodoma,Dodoma,Dodoma MC,Health Labs - Level IA2 (Dispensary Laboratory)
